company,product_name,review_text,rating,date,sentiment
Xiaomi,Redmi Note 12,Performance parvaledu.,3,2021-09-22,Neutral
OnePlus,10 Pro,Gaming chesthe heat ekkuva avutundi.,2,2021-04-08,Negative
Nokia,6.1,"Design chala attractive ga undi, worth buying.",4,2021-03-25,Positive
OnePlus,8T,"Battery life average, one day matrame.",3,2020-09-22,Neutral
Vivo,V23,"Camera quality bagundi, especially night mode.",5,2021-09-12,Positive
Motorola,G8,Performance slow ga undi.,2,2022-07-18,Negative
Xiaomi,Redmi Note 9,"Battery life average, one day matrame.",3,2020-07-10,Neutral
Samsung,S20,"Performance top notch, lag e ledhu.",4,2020-12-19,Positive
Xiaomi,Redmi Note 12,"Battery baaga hold chestundi, heavy usage lo kuda.",4,2023-04-06,Positive
Realme,Realme 11,"Performance top notch, lag e ledhu.",4,2020-01-08,Positive
Nokia,7.2,"Sound system fine, not too loud.",3,2022-10-15,Neutral
Apple,iPhone 15,"Display ok, colors normal ga unnayi.",3,2020-08-01,Neutral
Oppo,A52,Display quality next level 🔥,5,2023-08-25,Positive
OnePlus,11,"Battery baaga hold chestundi, heavy usage lo kuda.",4,2022-12-29,Positive
Vivo,V19,Charging time ekkuva padutundi.,2,2020-12-09,Negative
Motorola,G9,Design simple ga undi.,3,2021-06-10,Neutral
Samsung,S24,Gaming chesthe heat ekkuva avutundi.,1,2021-01-16,Negative
Nokia,8.3,"Battery baaga hold chestundi, heavy usage lo kuda.",4,2023-09-16,Positive
Samsung,S24,"Camera super ga undi, performance bagundi.",4,2023-01-11,Positive
Realme,Realme 10,Design outdated ga anipistundi.,2,2020-08-29,Negative
OnePlus,10 Pro,"Camera super ga undi, performance bagundi.",5,2024-01-01,Positive
Nokia,6.1,"Super fast charging, baaga impress ayyanu.",4,2023-05-31,Positive
Realme,Realme 10,"Super fast charging, baaga impress ayyanu.",5,2024-02-08,Positive
OnePlus,7T,"Design chala attractive ga undi, worth buying.",4,2024-03-04,Positive
Motorola,G32,"Camera parvaledu, not bad.",3,2021-11-10,Neutral
Poco,F5,"Display ok, colors normal ga unnayi.",3,2023-07-17,Neutral
Xiaomi,Redmi Note 12,"Heating issue vachesindi, not good.",2,2023-12-05,Negative
Vivo,V23,"Sound system fine, not too loud.",3,2021-05-26,Neutral
Realme,Realme 7,Design outdated ga anipistundi.,2,2020-05-22,Negative
OnePlus,10 Pro,"Battery baaledu, fast drain avutundi.",2,2023-05-24,Negative
Nokia,C21,"Price kuda parvaledu, value for money.",3,2024-06-29,Neutral
Realme,Realme 10,"Screen quality average, not impressed.",1,2021-06-26,Negative
OnePlus,9 Pro,"Design chala attractive ga undi, worth buying.",4,2024-08-09,Positive
Samsung,S21,"Battery baaledu, fast drain avutundi.",2,2021-12-26,Negative
Motorola,G8,"Screen quality average, not impressed.",1,2022-05-11,Negative
Poco,X4,Updates slow ga vastunnayi.,2,2020-11-07,Negative
Samsung,S20,"Screen quality average, not impressed.",2,2023-02-15,Negative
Xiaomi,Redmi Note 11,"Sound system fine, not too loud.",3,2022-04-11,Neutral
OnePlus,7T,"Price kuda parvaledu, value for money.",3,2024-08-18,Neutral
Vivo,V17,"Screen quality average, not impressed.",2,2022-04-28,Negative
Oppo,A74,Updates slow ga vastunnayi.,2,2024-08-11,Negative
Poco,X3,Camera quality ok but not great.,1,2023-06-04,Negative
OnePlus,11,Display quality next level 🔥,4,2023-04-13,Positive
Motorola,G8,"Super fast charging, baaga impress ayyanu.",4,2020-04-21,Positive
Apple,iPhone 15,Design simple ga undi.,3,2021-02-12,Neutral
Realme,Realme 10,"Battery life excellent, 2 rojulu easy ga vastundi.",4,2021-05-02,Positive
Poco,F4,Amazing speed and smooth gaming.,5,2023-12-20,Positive
Oppo,A74,Amazing speed and smooth gaming.,4,2021-09-11,Positive
Samsung,S22,Performance parvaledu.,3,2021-08-12,Neutral
Realme,Realme 8,"Camera quality bagundi, especially night mode.",4,2023-10-27,Positive
OnePlus,11,"Performance top notch, lag e ledhu.",5,2021-03-31,Positive
Vivo,V23,Display quality next level 🔥,5,2022-11-23,Positive
Oppo,Reno 6,"Display ok, colors normal ga unnayi.",3,2023-09-08,Neutral
Realme,Realme 6,Cost ekkuva but features super.,5,2021-09-26,Positive
Apple,iPhone 11,Camera quality ok but not great.,1,2023-04-10,Negative
Poco,F4,"Design chala attractive ga undi, worth buying.",4,2022-03-28,Positive
Vivo,V25,"Super fast charging, baaga impress ayyanu.",5,2023-08-04,Positive
Nokia,5.4,Gaming chesthe heat ekkuva avutundi.,1,2020-07-02,Negative
Poco,F5,"Screen quality average, not impressed.",2,2023-11-14,Negative
Motorola,G32,"Ok ok mobile, nothing special.",3,2022-11-28,Neutral
Motorola,G9,"Super fast charging, baaga impress ayyanu.",5,2022-02-15,Positive
Xiaomi,Mi 12,Updates slow ga vastunnayi.,2,2021-11-05,Negative
Poco,F4,"Camera quality bagundi, especially night mode.",5,2020-11-08,Positive
Poco,X4,"Super fast charging, baaga impress ayyanu.",4,2022-02-21,Positive
Realme,Realme 7,Gaming chesthe heat ekkuva avutundi.,1,2024-07-18,Negative
Vivo,V23,"Camera super ga undi, performance bagundi.",5,2022-10-22,Positive
Oppo,A52,"Camera quality bagundi, especially night mode.",4,2023-11-05,Positive
Oppo,Reno 8,"Battery baaga hold chestundi, heavy usage lo kuda.",5,2021-11-03,Positive
Oppo,A54,"Battery life excellent, 2 rojulu easy ga vastundi.",5,2021-10-29,Positive
Xiaomi,Redmi Note 10,Design outdated ga anipistundi.,1,2021-12-11,Negative
Vivo,V17,"Performance top notch, lag e ledhu.",5,2020-10-16,Positive
Oppo,A52,Updates slow ga vastunnayi.,2,2021-12-22,Negative
Motorola,G8,Display quality next level 🔥,5,2023-08-10,Positive
Apple,iPhone 15,"Battery life excellent, 2 rojulu easy ga vastundi.",4,2021-05-25,Positive
Xiaomi,Redmi Note 11,"Battery baaga hold chestundi, heavy usage lo kuda.",4,2022-01-09,Positive
Poco,F5,"Camera parvaledu, not bad.",3,2022-11-23,Neutral
Vivo,V25,Design outdated ga anipistundi.,1,2023-08-31,Negative
Xiaomi,Mi 12,Performance parvaledu.,3,2022-12-07,Neutral
Motorola,G22,"Battery baaga hold chestundi, heavy usage lo kuda.",5,2020-09-05,Positive
Realme,Realme 8,"Battery life average, one day matrame.",3,2022-01-31,Neutral
Poco,X3,"Performance top notch, lag e ledhu.",4,2022-05-09,Positive
Poco,F5,"Battery life excellent, 2 rojulu easy ga vastundi.",5,2020-02-10,Positive
Vivo,V17,Performance slow ga undi.,1,2023-09-16,Negative
Realme,Realme 10,Design outdated ga anipistundi.,2,2021-09-21,Negative
Poco,F5,Design simple ga undi.,3,2022-02-07,Neutral
Samsung,S23,"Super fast charging, baaga impress ayyanu.",5,2020-03-12,Positive
Xiaomi,Redmi Note 11,Amazing speed and smooth gaming.,5,2021-02-05,Positive
Xiaomi,Redmi Note 12,"Average performance, normal usage ki saripothundi.",3,2020-08-10,Neutral
Xiaomi,Redmi Note 12,"Screen quality average, not impressed.",2,2020-08-31,Negative
Oppo,A52,"Camera super ga undi, performance bagundi.",4,2022-10-06,Positive
Motorola,G9,Display quality next level 🔥,4,2021-04-11,Positive
Nokia,C21,"Camera super ga undi, performance bagundi.",4,2022-05-24,Positive
Apple,iPhone 14,Camera quality ok but not great.,1,2024-03-09,Negative
Vivo,V17,"Battery life excellent, 2 rojulu easy ga vastundi.",4,2024-03-19,Positive
Apple,iPhone 12,"Display ok, colors normal ga unnayi.",3,2023-06-14,Neutral
Oppo,A74,"Battery baaga hold chestundi, heavy usage lo kuda.",5,2020-08-10,Positive
Poco,F3,"Performance top notch, lag e ledhu.",5,2023-08-18,Positive
Apple,iPhone 11,"Screen quality average, not impressed.",1,2024-07-07,Negative
Motorola,G22,Design outdated ga anipistundi.,2,2020-08-20,Negative
Realme,Realme 8,Display quality next level 🔥,5,2024-07-19,Positive
Realme,Realme 8,Charging time ekkuva padutundi.,1,2020-10-02,Negative
Poco,F3,"Performance top notch, lag e ledhu.",5,2020-06-11,Positive
OnePlus,9 Pro,"Battery life excellent, 2 rojulu easy ga vastundi.",5,2021-05-16,Positive
Xiaomi,Mi 12,"Battery life excellent, 2 rojulu easy ga vastundi.",4,2022-09-16,Positive
OnePlus,8T,"Screen quality average, not impressed.",2,2021-03-24,Negative
Poco,F4,"Price kuda parvaledu, value for money.",3,2020-12-31,Neutral
Oppo,A74,"Ok for regular tasks, gaming ki not suitable.",3,2020-04-11,Neutral
Xiaomi,Redmi Note 12,"Battery life excellent, 2 rojulu easy ga vastundi.",4,2020-02-04,Positive
OnePlus,8T,"Battery baaledu, fast drain avutundi.",1,2022-08-17,Negative
Nokia,7.2,Display quality next level 🔥,4,2021-02-04,Positive
Motorola,G8,"Super fast charging, baaga impress ayyanu.",5,2024-05-23,Positive
Samsung,S21,Cost ekkuva but features super.,4,2023-12-10,Positive
Realme,Realme 7,"Heating issue vachesindi, not good.",1,2023-05-03,Negative
Nokia,6.1,Amazing speed and smooth gaming.,5,2022-03-16,Positive
Samsung,S21,"Camera super ga undi, performance bagundi.",4,2023-09-13,Positive
Apple,iPhone 15,"Ok for regular tasks, gaming ki not suitable.",3,2021-05-30,Neutral
Samsung,S23,Amazing speed and smooth gaming.,5,2021-08-14,Positive
Samsung,S23,"Design chala attractive ga undi, worth buying.",5,2024-03-06,Positive
Realme,Realme 8,"Camera quality bagundi, especially night mode.",4,2024-05-28,Positive
Vivo,V15,Camera quality ok but not great.,1,2024-08-16,Negative
Apple,iPhone 13,"Display ok, colors normal ga unnayi.",3,2022-10-27,Neutral
Samsung,S24,"Design chala attractive ga undi, worth buying.",4,2023-12-10,Positive
Vivo,V15,Performance slow ga undi.,2,2021-02-25,Negative
Motorola,G22,"Camera quality bagundi, especially night mode.",5,2023-10-13,Positive
Xiaomi,Redmi Note 9,"Super fast charging, baaga impress ayyanu.",5,2022-06-26,Positive
Oppo,A74,"Price kuda parvaledu, value for money.",3,2023-09-06,Neutral
Apple,iPhone 11,Amazing speed and smooth gaming.,5,2023-11-27,Positive
Oppo,Reno 6,Display quality next level 🔥,4,2021-11-03,Positive
Samsung,S22,"Price thakkuva undali, too costly.",1,2021-11-30,Negative
Samsung,S21,Camera quality ok but not great.,1,2023-02-22,Negative
Motorola,G9,Design simple ga undi.,3,2020-04-12,Neutral
Poco,F4,Performance slow ga undi.,2,2020-08-14,Negative
Oppo,Reno 8,"Battery life excellent, 2 rojulu easy ga vastundi.",5,2021-05-08,Positive
Realme,Realme 7,"Performance top notch, lag e ledhu.",4,2023-02-04,Positive
Vivo,V17,"Camera quality bagundi, especially night mode.",4,2022-02-17,Positive
Vivo,V17,"Screen quality average, not impressed.",2,2022-05-06,Negative
Nokia,6.1,Charging time ekkuva padutundi.,1,2020-12-22,Negative
Apple,iPhone 12,"Battery baaledu, fast drain avutundi.",2,2024-07-04,Negative
Poco,X4,Design simple ga undi.,3,2023-09-01,Neutral
Vivo,V19,Camera quality ok but not great.,2,2020-10-07,Negative
Nokia,6.1,Amazing speed and smooth gaming.,5,2023-05-15,Positive
Nokia,8.3,Updates slow ga vastunnayi.,1,2023-08-28,Negative
Samsung,S21,"Sound system fine, not too loud.",3,2020-05-18,Neutral
Nokia,C21,"Battery baaga hold chestundi, heavy usage lo kuda.",4,2020-07-09,Positive
Xiaomi,Redmi Note 9,Design simple ga undi.,3,2023-02-13,Neutral
Poco,X4,"Average performance, normal usage ki saripothundi.",3,2020-10-12,Neutral
Motorola,G10,"Design chala attractive ga undi, worth buying.",5,2020-03-11,Positive
Vivo,V25,"Battery baaledu, fast drain avutundi.",2,2023-10-04,Negative
Oppo,A52,"Camera parvaledu, not bad.",3,2023-09-18,Neutral
Realme,Realme 7,"Camera quality bagundi, especially night mode.",4,2020-07-17,Positive
Xiaomi,Mi 12,"Design chala attractive ga undi, worth buying.",5,2020-10-19,Positive
Oppo,Reno 8,Amazing speed and smooth gaming.,4,2024-07-14,Positive
Oppo,Reno 8,Amazing speed and smooth gaming.,4,2022-08-07,Positive
Xiaomi,Redmi Note 10,Cost ekkuva but features super.,5,2020-09-07,Positive
Apple,iPhone 11,Updates slow ga vastunnayi.,2,2020-07-22,Negative
Samsung,S21,"Performance top notch, lag e ledhu.",5,2024-01-06,Positive
Apple,iPhone 14,Amazing speed and smooth gaming.,4,2021-10-31,Positive
Samsung,S23,"Price kuda parvaledu, value for money.",3,2022-02-08,Neutral
Apple,iPhone 15,"Camera quality bagundi, especially night mode.",5,2023-10-12,Positive
Vivo,V17,"Camera quality bagundi, especially night mode.",4,2020-05-25,Positive
Xiaomi,Redmi Note 12,Charging time ekkuva padutundi.,2,2020-05-28,Negative
Vivo,V19,"Battery life average, one day matrame.",3,2023-09-26,Neutral
Motorola,G32,Charging time ekkuva padutundi.,2,2024-03-01,Negative
Vivo,V17,Design outdated ga anipistundi.,1,2020-01-13,Negative
Apple,iPhone 14,"Design chala attractive ga undi, worth buying.",4,2023-11-06,Positive
Oppo,A54,"Screen quality average, not impressed.",1,2021-10-09,Negative
Realme,Realme 7,"Display ok, colors normal ga unnayi.",3,2020-04-05,Neutral
Apple,iPhone 14,"Design chala attractive ga undi, worth buying.",5,2020-07-24,Positive
Vivo,V19,"Camera quality bagundi, especially night mode.",4,2020-03-03,Positive
Nokia,5.4,"Performance top notch, lag e ledhu.",5,2023-07-31,Positive
Xiaomi,Mi 12,Design outdated ga anipistundi.,1,2020-03-09,Negative
Vivo,V25,"Camera super ga undi, performance bagundi.",4,2024-01-23,Positive
Realme,Realme 6,Updates slow ga vastunnayi.,2,2022-11-04,Negative
Vivo,V25,Display quality next level 🔥,5,2022-03-13,Positive
Nokia,5.4,Design simple ga undi.,3,2022-12-26,Neutral
Nokia,6.1,Cost ekkuva but features super.,5,2021-03-09,Positive
OnePlus,10 Pro,"Battery baaga hold chestundi, heavy usage lo kuda.",4,2023-12-20,Positive
Apple,iPhone 11,"Camera super ga undi, performance bagundi.",4,2022-01-30,Positive
Motorola,G22,"Camera parvaledu, not bad.",3,2020-07-05,Neutral
Vivo,V19,Updates slow ga vastunnayi.,2,2022-05-16,Negative
Apple,iPhone 11,Cost ekkuva but features super.,4,2020-04-16,Positive
Apple,iPhone 14,"Battery life excellent, 2 rojulu easy ga vastundi.",4,2022-03-23,Positive
Poco,F4,"Price kuda parvaledu, value for money.",3,2023-10-01,Neutral
Realme,Realme 11,Cost ekkuva but features super.,5,2023-03-27,Positive
Poco,F4,"Battery life excellent, 2 rojulu easy ga vastundi.",5,2023-05-22,Positive
Xiaomi,Redmi Note 12,"Ok for regular tasks, gaming ki not suitable.",3,2020-05-10,Neutral
Nokia,8.3,"Camera quality bagundi, especially night mode.",4,2020-07-19,Positive
Apple,iPhone 15,"Battery life excellent, 2 rojulu easy ga vastundi.",5,2021-03-16,Positive
Vivo,V17,Cost ekkuva but features super.,4,2022-04-23,Positive
Oppo,A74,"Camera parvaledu, not bad.",3,2023-10-29,Neutral
OnePlus,11,Design outdated ga anipistundi.,1,2022-11-26,Negative
Realme,Realme 6,Performance parvaledu.,3,2021-06-29,Neutral
Oppo,A52,"Battery life excellent, 2 rojulu easy ga vastundi.",4,2024-03-24,Positive
Vivo,V15,"Heating issue vachesindi, not good.",1,2024-06-19,Negative
Vivo,V19,"Battery life excellent, 2 rojulu easy ga vastundi.",4,2023-03-08,Positive
Samsung,S24,Gaming chesthe heat ekkuva avutundi.,1,2022-07-17,Negative
Nokia,8.3,Amazing speed and smooth gaming.,5,2024-03-28,Positive
Xiaomi,Redmi Note 12,Charging time ekkuva padutundi.,2,2024-05-14,Negative
Oppo,Reno 6,Amazing speed and smooth gaming.,5,2022-10-01,Positive
Samsung,S23,"Camera super ga undi, performance bagundi.",5,2021-06-15,Positive
Vivo,V19,Camera quality ok but not great.,2,2023-10-28,Negative
Poco,X3,"Battery baaledu, fast drain avutundi.",1,2020-08-11,Negative
Oppo,Reno 8,"Design chala attractive ga undi, worth buying.",5,2024-07-26,Positive
Samsung,S20,"Battery life average, one day matrame.",3,2022-04-03,Neutral
Nokia,7.2,"Performance top notch, lag e ledhu.",4,2020-05-20,Positive
OnePlus,7T,Cost ekkuva but features super.,5,2023-07-17,Positive
Xiaomi,Mi 12,"Camera quality bagundi, especially night mode.",5,2023-01-17,Positive
Apple,iPhone 13,Display quality next level 🔥,4,2023-11-30,Positive
Apple,iPhone 15,"Sound system fine, not too loud.",3,2021-09-08,Neutral
Samsung,S23,"Battery baaga hold chestundi, heavy usage lo kuda.",5,2024-08-29,Positive
Nokia,6.1,"Battery life average, one day matrame.",3,2022-06-15,Neutral
Oppo,A52,"Camera quality bagundi, especially night mode.",5,2024-01-09,Positive
Nokia,5.4,"Sound system fine, not too loud.",3,2023-12-06,Neutral
Poco,F5,"Design chala attractive ga undi, worth buying.",4,2024-01-05,Positive
OnePlus,10 Pro,Performance parvaledu.,3,2021-10-22,Neutral
Xiaomi,Redmi Note 9,"Ok ok mobile, nothing special.",3,2024-08-07,Neutral
Xiaomi,Redmi Note 12,"Display ok, colors normal ga unnayi.",3,2021-05-09,Neutral
Poco,F4,"Battery life excellent, 2 rojulu easy ga vastundi.",5,2021-12-01,Positive
Motorola,G8,"Price thakkuva undali, too costly.",2,2020-10-10,Negative
OnePlus,10 Pro,"Battery baaga hold chestundi, heavy usage lo kuda.",5,2023-12-05,Positive
Vivo,V15,Gaming chesthe heat ekkuva avutundi.,1,2023-08-29,Negative
Poco,F3,Design simple ga undi.,3,2021-12-29,Neutral
Motorola,G8,"Battery baaga hold chestundi, heavy usage lo kuda.",4,2020-02-20,Positive
Samsung,S22,"Battery baaledu, fast drain avutundi.",2,2023-09-14,Negative
Nokia,5.4,"Camera super ga undi, performance bagundi.",5,2022-11-14,Positive
Xiaomi,Redmi Note 9,"Camera super ga undi, performance bagundi.",4,2024-07-29,Positive
Oppo,A54,"Screen quality average, not impressed.",2,2023-04-10,Negative
Samsung,S23,Gaming chesthe heat ekkuva avutundi.,1,2023-01-09,Negative
Vivo,V19,"Ok for regular tasks, gaming ki not suitable.",3,2020-08-27,Neutral
Samsung,S23,"Screen quality average, not impressed.",1,2024-02-27,Negative
Nokia,8.3,"Super fast charging, baaga impress ayyanu.",5,2022-11-24,Positive
Samsung,S23,Camera quality ok but not great.,2,2022-10-31,Negative
Samsung,S21,"Battery life excellent, 2 rojulu easy ga vastundi.",4,2021-09-28,Positive
Xiaomi,Mi 12,"Camera quality bagundi, especially night mode.",5,2023-11-12,Positive
Xiaomi,Redmi Note 10,"Ok ok mobile, nothing special.",3,2023-10-23,Neutral
Apple,iPhone 15,"Camera parvaledu, not bad.",3,2024-03-30,Neutral
OnePlus,9 Pro,"Battery baaledu, fast drain avutundi.",1,2021-09-11,Negative
Realme,Realme 7,Amazing speed and smooth gaming.,4,2020-01-22,Positive
Oppo,Reno 8,"Camera quality bagundi, especially night mode.",5,2022-10-17,Positive
Realme,Realme 8,Updates slow ga vastunnayi.,2,2020-05-01,Negative
Poco,F3,"Super fast charging, baaga impress ayyanu.",5,2022-05-28,Positive
OnePlus,11,"Performance top notch, lag e ledhu.",5,2023-07-20,Positive
OnePlus,11,"Average performance, normal usage ki saripothundi.",3,2020-09-06,Neutral
Nokia,7.2,"Sound system fine, not too loud.",3,2022-04-21,Neutral
Samsung,S22,"Ok for regular tasks, gaming ki not suitable.",3,2022-06-15,Neutral
Apple,iPhone 15,"Ok for regular tasks, gaming ki not suitable.",3,2022-08-16,Neutral
Vivo,V23,"Super fast charging, baaga impress ayyanu.",5,2020-04-12,Positive
Motorola,G32,"Design chala attractive ga undi, worth buying.",5,2023-10-03,Positive
Motorola,G22,Display quality next level 🔥,4,2020-11-05,Positive
Samsung,S22,Camera quality ok but not great.,1,2021-06-26,Negative
Samsung,S21,"Price thakkuva undali, too costly.",2,2020-09-17,Negative
Samsung,S23,Gaming chesthe heat ekkuva avutundi.,1,2020-10-30,Negative
OnePlus,9 Pro,Display quality next level 🔥,5,2020-04-04,Positive
Poco,F3,"Camera quality bagundi, especially night mode.",4,2023-02-20,Positive
Realme,Realme 8,Gaming chesthe heat ekkuva avutundi.,2,2023-05-02,Negative
Motorola,G9,"Battery life excellent, 2 rojulu easy ga vastundi.",5,2023-07-28,Positive
Poco,F5,"Camera super ga undi, performance bagundi.",5,2024-08-08,Positive
Oppo,A74,"Price kuda parvaledu, value for money.",3,2023-07-29,Neutral
Xiaomi,Redmi Note 12,"Battery baaledu, fast drain avutundi.",1,2023-10-14,Negative
OnePlus,8T,"Heating issue vachesindi, not good.",2,2023-10-25,Negative
Poco,F3,"Battery life average, one day matrame.",3,2020-05-11,Neutral
Nokia,6.1,"Super fast charging, baaga impress ayyanu.",4,2021-09-28,Positive
Samsung,S23,"Screen quality average, not impressed.",1,2020-11-18,Negative
Apple,iPhone 13,"Battery baaga hold chestundi, heavy usage lo kuda.",5,2024-01-12,Positive
Vivo,V19,"Camera quality bagundi, especially night mode.",5,2022-12-27,Positive
Realme,Realme 10,Design outdated ga anipistundi.,2,2022-06-18,Negative
Nokia,6.1,"Camera parvaledu, not bad.",3,2024-08-20,Neutral
Poco,F4,"Battery life excellent, 2 rojulu easy ga vastundi.",5,2021-05-26,Positive
Realme,Realme 7,Charging time ekkuva padutundi.,1,2021-02-21,Negative
Vivo,V15,Cost ekkuva but features super.,5,2023-10-14,Positive
Oppo,Reno 8,"Heating issue vachesindi, not good.",2,2021-07-20,Negative
Poco,X3,Cost ekkuva but features super.,4,2023-06-17,Positive
Xiaomi,Redmi Note 12,"Camera quality bagundi, especially night mode.",5,2020-10-06,Positive
Vivo,V19,Camera quality ok but not great.,2,2021-04-29,Negative
Xiaomi,Redmi Note 11,"Screen quality average, not impressed.",2,2023-12-04,Negative
Oppo,Reno 8,"Performance top notch, lag e ledhu.",4,2024-05-17,Positive
Vivo,V17,"Average performance, normal usage ki saripothundi.",3,2022-11-18,Neutral
Oppo,Reno 6,"Design chala attractive ga undi, worth buying.",4,2020-10-25,Positive
Poco,F5,Cost ekkuva but features super.,4,2022-01-08,Positive
OnePlus,11,"Battery baaga hold chestundi, heavy usage lo kuda.",4,2020-06-28,Positive
Poco,X4,Cost ekkuva but features super.,4,2022-07-30,Positive
Motorola,G8,"Super fast charging, baaga impress ayyanu.",4,2020-09-09,Positive
OnePlus,8T,Gaming chesthe heat ekkuva avutundi.,1,2022-01-20,Negative
Oppo,A74,Display quality next level 🔥,5,2021-12-18,Positive
Samsung,S20,Performance slow ga undi.,1,2024-05-11,Negative
Apple,iPhone 12,"Price thakkuva undali, too costly.",2,2022-08-23,Negative
Poco,F5,"Camera super ga undi, performance bagundi.",5,2022-06-06,Positive
Xiaomi,Redmi Note 10,Gaming chesthe heat ekkuva avutundi.,1,2023-05-20,Negative
Samsung,S24,"Design chala attractive ga undi, worth buying.",4,2024-01-25,Positive
Apple,iPhone 13,"Ok for regular tasks, gaming ki not suitable.",3,2024-04-04,Neutral
Samsung,S21,"Battery life average, one day matrame.",3,2024-02-24,Neutral
Nokia,7.2,"Price kuda parvaledu, value for money.",3,2020-05-25,Neutral
OnePlus,8T,"Performance top notch, lag e ledhu.",4,2024-06-27,Positive
Xiaomi,Redmi Note 10,Charging time ekkuva padutundi.,2,2023-09-29,Negative
Realme,Realme 10,"Super fast charging, baaga impress ayyanu.",4,2024-01-14,Positive
Realme,Realme 6,"Camera quality bagundi, especially night mode.",5,2023-05-18,Positive
Motorola,G9,"Battery life average, one day matrame.",3,2021-02-09,Neutral
Nokia,8.3,Design outdated ga anipistundi.,2,2020-08-03,Negative
Motorola,G10,"Heating issue vachesindi, not good.",1,2022-09-15,Negative
Realme,Realme 11,Amazing speed and smooth gaming.,4,2021-08-21,Positive
Realme,Realme 6,"Performance top notch, lag e ledhu.",5,2021-02-16,Positive
